iter	Passed	Remaining
0	162	162712
1	170	85126
2	178	59315
3	186	46428
4	193	38474
5	200	33150
6	207	29503
7	215	26664
8	222	24519
9	229	22745
10	237	21394
11	245	20226
12	253	19237
13	261	18437
14	269	17694
15	278	17119
16	286	16566
17	295	16095
18	302	15626
19	309	15149
20	314	14677
21	322	14322
22	329	14016
23	336	13701
24	342	13371
25	348	13058
26	355	12811
27	360	12522
28	366	12283
29	373	12060
30	378	11824
31	384	11640
32	390	11430
33	395	11228
34	401	11076
35	407	10900
36	412	10728
37	419	10611
38	424	10470
39	430	10328
40	435	10197
41	441	10063
42	446	9945
43	452	9827
44	457	9714
45	465	9645
46	472	9582
47	483	9581
48	491	9534
49	497	9448
50	502	9354
51	507	9258
52	513	9172
53	518	9089
54	534	9182
55	547	9223
56	564	9345
57	575	9347
58	581	9277
59	587	9209
60	595	9167
61	602	9119
62	608	9053
63	614	8981
64	620	8920
65	627	8878
66	636	8858
67	643	8816
68	651	8790
69	659	8766
70	667	8739
71	674	8691
72	683	8674
73	688	8620
74	697	8596
75	703	8556
76	709	8509
77	715	8460
78	721	8412
79	728	8372
80	733	8324
81	739	8273
82	745	8236
83	751	8195
84	757	8151
85	762	8102
86	767	8055
87	772	8009
88	777	7962
89	782	7915
90	789	7889
91	795	7850
92	800	7809
93	806	7775
94	812	7736
95	817	7695
96	822	7655
97	828	7626
98	834	7595
99	839	7558
100	844	7520
101	850	7485
102	856	7454
103	861	7425
104	868	7401
105	874	7379
106	882	7364
107	888	7341
108	894	7310
109	899	7276
110	904	7242
111	909	7211
112	914	7181
113	920	7152
114	925	7121
115	930	7091
116	935	7060
117	940	7032
118	946	7007
119	951	6977
120	956	6948
121	961	6919
122	966	6894
123	972	6872
124	978	6849
125	983	6823
126	988	6796
127	993	6769
128	998	6742
129	1003	6717
130	1008	6690
131	1013	6666
132	1018	6641
133	1023	6617
134	1029	6594
135	1034	6572
136	1039	6549
137	1044	6525
138	1050	6504
139	1055	6481
140	1060	6458
141	1065	6437
142	1070	6416
143	1075	6395
144	1081	6374
145	1086	6353
